,code1,code2,code3,code4
242,J,X,,
243,P,V,,
244,W,S,R,T
245,Q,R,T,
246,D,G,,
247,S,R,T,
248,V,,,
249,G,,,
250,M,O,P,V
251,O,P,V,
252,V,,,
253,L,O,P,V
254,U,Q,R,T
255,C,D,G,
256,M,O,P,V
257,W,S,R,T
258,G,,,
259,H,I,J,X
260,O,P,V,
261,A,C,D,G
262,I,J,X,
263,D,G,,
264,O,P,V,
265,M,O,P,V
266,V,,,
267,J,X,,
268,D,G,,
269,L,O,P,V
270,M,O,P,V
271,O,P,V,
272,B,C,D,G
273,O,P,V,
274,M,O,P,V
275,X,,,
276,H,I,J,X
277,J,X,,
278,G,,,
279,L,O,P,V
280,A,C,D,G
281,P,V,,
282,T,,,
283,W,S,R,T
284,I,J,X,
285,E,F,D,G
286,W,S,R,T
287,T,,,
288,Q,R,T,
289,W,S,R,T
290,Q,R,T,
291,I,J,X,
292,S,R,T,
293,K,J,X,
294,G,,,
295,R,T,,
296,T,,,
297,E,F,D,G
298,M,O,P,V
299,U,Q,R,T
300,S,R,T,
301,O,P,V,
302,X,,,
303,O,P,V,
304,G,,,
305,C,D,G,
306,E,F,D,G
307,B,C,D,G
308,B,C,D,G
309,K,J,X,
310,D,G,,
311,V,,,
312,N,O,P,V
313,I,J,X,
314,U,Q,R,T
315,L,O,P,V
316,S,R,T,
317,B,C,D,G
318,K,J,X,
319,J,X,,
320,J,X,,
321,B,C,D,G
322,C,D,G,
323,C,D,G,
324,D,G,,
325,K,J,X,
326,I,J,X,
327,V,,,
328,W,S,R,T
329,V,,,
330,P,V,,
331,T,,,
332,X,,,
333,K,J,X,
334,B,C,D,G
335,H,I,J,X
336,E,F,D,G
337,L,O,P,V
338,M,O,P,V
339,Q,R,T,
340,R,T,,
341,M,O,P,V
342,R,T,,
343,U,Q,R,T
344,S,R,T,
345,L,O,P,V
346,R,T,,
347,U,Q,R,T
348,B,C,D,G
349,H,I,J,X
350,O,P,V,
351,K,J,X,
352,U,Q,R,T
353,U,Q,R,T
354,N,O,P,V
355,G,,,
356,G,,,
357,K,J,X,
358,E,F,D,G
359,J,X,,
360,B,C,D,G
361,K,J,X,
362,D,G,,
363,P,V,,
364,L,O,P,V
365,T,,,
366,W,S,R,T
367,C,D,G,
368,U,Q,R,T
369,R,T,,
370,Q,R,T,
371,U,Q,R,T
372,D,G,,
373,D,G,,
374,P,V,,
375,R,T,,
376,X,,,
377,A,C,D,G
378,U,Q,R,T
379,N,O,P,V
380,B,C,D,G
381,Q,R,T,
382,Q,R,T,
383,W,S,R,T
384,R,T,,
385,V,,,
386,S,R,T,
387,H,I,J,X
388,W,S,R,T
389,N,O,P,V
390,R,T,,
391,J,X,,
392,P,V,,
393,C,D,G,
394,L,O,P,V
395,O,P,V,
396,E,F,D,G
397,P,V,,
398,X,,,
399,X,,,
400,R,T,,
401,L,O,P,V
402,G,,,
403,B,C,D,G
404,Q,R,T,
405,X,,,
406,S,R,T,
407,U,Q,R,T
408,U,Q,R,T
409,H,I,J,X
410,M,O,P,V
411,P,V,,
412,M,O,P,V
413,U,Q,R,T
414,B,C,D,G
415,O,P,V,
416,E,F,D,G
417,P,V,,
418,T,,,
419,R,T,,
420,R,T,,
421,N,O,P,V
422,M,O,P,V
423,B,C,D,G
424,H,I,J,X
425,G,,,
426,X,,,
427,R,T,,
428,G,,,
429,R,T,,
430,Q,R,T,
431,V,,,
432,D,G,,
433,O,P,V,
434,C,D,G,
435,S,R,T,
436,D,G,,
437,P,V,,
438,J,X,,
439,M,O,P,V
440,M,O,P,V
441,A,C,D,G
442,I,J,X,
443,G,,,
444,E,F,D,G
445,E,F,D,G
446,G,,,
447,N,O,P,V
448,J,X,,
449,X,,,
450,A,C,D,G
451,L,O,P,V
452,C,D,G,
453,W,S,R,T
454,T,,,
455,K,J,X,
456,V,,,
457,T,,,
458,E,F,D,G
459,C,D,G,
460,A,C,D,G
461,G,,,
462,L,O,P,V
463,C,D,G,
464,J,X,,
465,B,C,D,G
466,J,X,,
467,U,Q,R,T
468,T,,,
469,E,F,D,G
470,K,J,X,
471,N,O,P,V
472,N,O,P,V
473,H,I,J,X
474,W,S,R,T
475,L,O,P,V
476,U,Q,R,T
477,J,X,,
478,H,I,J,X
479,W,S,R,T
480,C,D,G,
481,M,O,P,V
482,T,,,
483,V,,,
484,E,F,D,G
485,W,S,R,T
486,G,,,
487,Q,R,T,
488,C,D,G,
489,V,,,
490,X,,,
491,I,J,X,
492,R,T,,
493,P,V,,
494,H,I,J,X
495,F,D,G,
496,B,C,D,G
497,L,O,P,V
498,G,,,
499,N,O,P,V
500,J,X,,
501,H,I,J,X
502,P,V,,
503,T,,,
504,U,Q,R,T
505,H,I,J,X
506,U,Q,R,T
507,V,,,
508,E,F,D,G
509,F,D,G,
510,L,O,P,V
511,C,D,G,
512,S,R,T,
513,D,G,,
514,H,I,J,X
515,I,J,X,
516,F,D,G,
517,M,O,P,V
518,K,J,X,
519,O,P,V,
520,G,,,
521,A,C,D,G
522,L,O,P,V
523,K,J,X,
524,S,R,T,
525,W,S,R,T
526,S,R,T,
527,K,J,X,
528,X,,,
529,P,V,,
530,M,O,P,V
531,A,C,D,G
532,E,F,D,G
533,X,,,
534,K,J,X,
535,P,V,,
536,X,,,
537,L,O,P,V
538,A,C,D,G
539,J,X,,
540,O,P,V,
541,J,X,,
542,K,J,X,
543,X,,,
544,J,X,,
545,K,J,X,
546,C,D,G,
547,A,C,D,G
548,S,R,T,
549,B,C,D,G
550,K,J,X,
551,R,T,,
552,N,O,P,V
553,H,I,J,X
554,E,F,D,G
555,W,S,R,T
556,K,J,X,
557,S,R,T,
558,P,V,,
559,K,J,X,
560,O,P,V,
561,O,P,V,
562,T,,,
563,N,O,P,V
564,M,O,P,V
565,V,,,
566,N,O,P,V
567,B,C,D,G
568,X,,,
569,Q,R,T,
570,I,J,X,
571,X,,,
572,D,G,,
573,E,F,D,G
574,A,C,D,G
575,M,O,P,V
576,Q,R,T,
577,F,D,G,
578,C,D,G,
579,K,J,X,
580,T,,,
581,V,,,
582,L,O,P,V
583,V,,,
584,D,G,,
585,S,R,T,
586,K,J,X,
587,G,,,
588,E,F,D,G
589,T,,,
590,E,F,D,G
591,G,,,
592,M,O,P,V
593,P,V,,
594,N,O,P,V
595,H,I,J,X
596,U,Q,R,T
597,L,O,P,V
598,J,X,,
599,N,O,P,V
600,D,G,,
601,K,J,X,
602,Q,R,T,
603,W,S,R,T
604,B,C,D,G
605,D,G,,
606,K,J,X,
607,I,J,X,
608,G,,,
609,G,,,
610,K,J,X,
611,X,,,
612,O,P,V,
613,T,,,
614,Q,R,T,
615,K,J,X,
616,H,I,J,X
617,P,V,,
618,P,V,,
619,S,R,T,
620,X,,,
621,T,,,
622,F,D,G,
623,W,S,R,T
624,Q,R,T,
625,S,R,T,
626,X,,,
627,U,Q,R,T
628,H,I,J,X
629,W,S,R,T
630,K,J,X,
631,U,Q,R,T
632,W,S,R,T
633,E,F,D,G
634,A,C,D,G
635,O,P,V,
636,H,I,J,X
637,H,I,J,X
638,D,G,,
639,O,P,V,
640,K,J,X,
641,X,,,
642,J,X,,
643,U,Q,R,T
644,I,J,X,
645,H,I,J,X
646,P,V,,
647,A,C,D,G
648,I,J,X,
649,M,O,P,V
650,K,J,X,
651,V,,,
652,U,Q,R,T
653,W,S,R,T
654,Q,R,T,
655,V,,,
656,N,O,P,V
657,Q,R,T,
658,N,O,P,V
659,V,,,
660,J,X,,
661,J,X,,
662,P,V,,
663,V,,,
664,X,,,
665,H,I,J,X
666,R,T,,
667,K,J,X,
668,D,G,,
669,B,C,D,G
670,I,J,X,
671,L,O,P,V
672,C,D,G,
673,P,V,,
674,P,V,,
675,E,F,D,G
676,W,S,R,T
677,E,F,D,G
678,W,S,R,T
679,Q,R,T,
680,L,O,P,V
681,B,C,D,G
682,J,X,,
683,G,,,
684,H,I,J,X
685,J,X,,
686,A,C,D,G
687,P,V,,
688,J,X,,
689,D,G,,
690,F,D,G,
691,A,C,D,G
692,J,X,,
693,M,O,P,V
694,O,P,V,
695,B,C,D,G
696,P,V,,
697,U,Q,R,T
698,T,,,
699,N,O,P,V
700,Q,R,T,
701,V,,,
702,U,Q,R,T
703,O,P,V,
704,P,V,,
705,I,J,X,
706,B,C,D,G
707,N,O,P,V
708,C,D,G,
709,C,D,G,
710,C,D,G,
711,Q,R,T,
712,X,,,
713,R,T,,
714,V,,,
715,C,D,G,
716,M,O,P,V
717,F,D,G,
718,K,J,X,
719,X,,,
720,Q,R,T,
721,O,P,V,
722,N,O,P,V
723,I,J,X,
724,X,,,
725,B,C,D,G
726,E,F,D,G
727,C,D,G,
728,J,X,,
729,W,S,R,T
730,Q,R,T,
731,N,O,P,V
732,X,,,
733,A,C,D,G
734,T,,,
735,O,P,V,
736,U,Q,R,T
737,I,J,X,
738,C,D,G,
739,K,J,X,
740,G,,,
741,E,F,D,G
742,A,C,D,G
743,M,O,P,V
744,J,X,,
745,G,,,
746,X,,,
747,T,,,
748,G,,,
749,V,,,
750,O,P,V,
751,E,F,D,G
752,H,I,J,X
753,M,O,P,V
754,F,D,G,
755,B,C,D,G
756,R,T,,
757,V,,,
758,C,D,G,
759,E,F,D,G
760,B,C,D,G
761,D,G,,
762,V,,,
763,B,C,D,G
764,Q,R,T,
765,B,C,D,G
766,J,X,,
767,D,G,,
768,V,,,
769,M,O,P,V
770,V,,,
771,C,D,G,
772,K,J,X,
773,O,P,V,
774,H,I,J,X
775,T,,,
776,F,D,G,
777,T,,,
778,T,,,
779,O,P,V,
780,J,X,,
781,J,X,,
782,B,C,D,G
783,B,C,D,G
784,O,P,V,
785,N,O,P,V
786,F,D,G,
787,L,O,P,V
788,I,J,X,
789,D,G,,
790,A,C,D,G
791,O,P,V,
792,V,,,
793,N,O,P,V
794,H,I,J,X
795,D,G,,
796,R,T,,
797,R,T,,
798,N,O,P,V
799,S,R,T,
800,O,P,V,
801,O,P,V,
802,C,D,G,
803,P,V,,
804,I,J,X,
805,X,,,
806,B,C,D,G
807,E,F,D,G
808,T,,,
809,M,O,P,V
810,N,O,P,V
811,V,,,
812,H,I,J,X
813,O,P,V,
814,D,G,,
815,R,T,,
816,B,C,D,G
817,U,Q,R,T
818,E,F,D,G
819,C,D,G,
820,N,O,P,V
821,S,R,T,
822,C,D,G,
823,W,S,R,T
824,F,D,G,
825,E,F,D,G
826,K,J,X,
827,G,,,
828,U,Q,R,T
829,X,,,
830,O,P,V,
831,H,I,J,X
832,G,,,
833,S,R,T,
834,L,O,P,V
835,K,J,X,
836,A,C,D,G
837,U,Q,R,T
838,N,O,P,V
839,U,Q,R,T
840,S,R,T,
841,T,,,
842,W,S,R,T
843,E,F,D,G
844,V,,,
845,J,X,,
846,C,D,G,
847,U,Q,R,T
848,H,I,J,X
849,C,D,G,
850,V,,,
851,I,J,X,
852,O,P,V,
853,J,X,,
854,F,D,G,
855,U,Q,R,T
856,G,,,
857,Q,R,T,
858,R,T,,
859,C,D,G,
860,G,,,
861,H,I,J,X
862,R,T,,
863,U,Q,R,T
864,B,C,D,G
865,V,,,
866,O,P,V,
867,H,I,J,X
868,I,J,X,
869,J,X,,
870,W,S,R,T
871,J,X,,
872,B,C,D,G
873,M,O,P,V
874,N,O,P,V
875,K,J,X,
876,E,F,D,G
877,F,D,G,
878,L,O,P,V
879,C,D,G,
880,C,D,G,
881,F,D,G,
882,P,V,,
883,I,J,X,
884,M,O,P,V
885,E,F,D,G
886,N,O,P,V
887,C,D,G,
888,I,J,X,
889,K,J,X,
890,L,O,P,V
891,V,,,
892,J,X,,
893,U,Q,R,T
894,V,,,
895,K,J,X,
896,T,,,
897,A,C,D,G
898,L,O,P,V
899,I,J,X,
900,F,D,G,
901,G,,,
902,L,O,P,V
903,R,T,,
904,T,,,
905,G,,,
906,M,O,P,V
907,F,D,G,
908,S,R,T,
909,A,C,D,G
910,I,J,X,
911,K,J,X,
912,F,D,G,
913,C,D,G,
914,E,F,D,G
915,M,O,P,V
916,Q,R,T,
917,U,Q,R,T
918,A,C,D,G
919,H,I,J,X
920,U,Q,R,T
921,C,D,G,
922,L,O,P,V
923,U,Q,R,T
924,M,O,P,V
925,C,D,G,
926,E,F,D,G
927,D,G,,
928,R,T,,
929,I,J,X,
930,A,C,D,G
931,X,,,
932,W,S,R,T
933,T,,,
934,Q,R,T,
935,X,,,
936,R,T,,
937,V,,,
938,P,V,,
939,B,C,D,G
940,G,,,
941,N,O,P,V
942,B,C,D,G
943,I,J,X,
944,L,O,P,V
945,X,,,
946,K,J,X,
947,X,,,
948,H,I,J,X
949,M,O,P,V
950,G,,,
951,M,O,P,V
952,N,O,P,V
953,T,,,
954,F,D,G,
955,D,G,,
956,O,P,V,
957,S,R,T,
958,D,G,,
959,P,V,,
960,U,Q,R,T
961,L,O,P,V
962,N,O,P,V
963,G,,,
964,E,F,D,G
965,G,,,
966,U,Q,R,T
967,A,C,D,G
968,A,C,D,G
969,E,F,D,G
970,V,,,
971,M,O,P,V
972,V,,,
973,F,D,G,
974,I,J,X,
975,L,O,P,V
976,G,,,
977,O,P,V,
978,V,,,
979,A,C,D,G
980,A,C,D,G
981,I,J,X,
982,U,Q,R,T
983,S,R,T,
984,B,C,D,G
985,M,O,P,V
986,D,G,,
987,C,D,G,
988,C,D,G,
989,G,,,
990,S,R,T,
991,D,G,,
992,J,X,,
993,I,J,X,
994,E,F,D,G
995,M,O,P,V
996,L,O,P,V
997,E,F,D,G
998,Q,R,T,
999,B,C,D,G
1000,A,C,D,G
1001,Q,R,T,
1002,N,O,P,V
1003,X,,,
1004,M,O,P,V
1005,N,O,P,V
1006,S,R,T,
1007,O,P,V,
1008,F,D,G,
1009,J,X,,
1010,H,I,J,X
1011,T,,,
1012,T,,,
1013,R,T,,
1014,L,O,P,V
1015,W,S,R,T
1016,N,O,P,V
1017,M,O,P,V
1018,N,O,P,V
1019,K,J,X,
1020,C,D,G,
1021,C,D,G,
1022,W,S,R,T
1023,P,V,,
1024,N,O,P,V
1025,W,S,R,T
1026,F,D,G,
1027,S,R,T,
1028,C,D,G,
1029,D,G,,
1030,D,G,,
1031,I,J,X,
1032,O,P,V,
1033,J,X,,
1034,T,,,
1035,T,,,
1036,O,P,V,
1037,N,O,P,V
1038,L,O,P,V
1039,W,S,R,T
1040,I,J,X,
1041,E,F,D,G
1042,D,G,,
1043,H,I,J,X
1044,M,O,P,V
1045,S,R,T,
1046,P,V,,
1047,B,C,D,G
1048,I,J,X,
1049,O,P,V,
1050,V,,,
1051,H,I,J,X
1052,T,,,
1053,J,X,,
1054,B,C,D,G
1055,N,O,P,V
1056,N,O,P,V
1057,I,J,X,
1058,P,V,,
1059,C,D,G,
1060,R,T,,
1061,R,T,,
1062,I,J,X,
1063,S,R,T,
1064,A,C,D,G
1065,J,X,,
1066,R,T,,
1067,I,J,X,
1068,A,C,D,G
1069,P,V,,
1070,A,C,D,G
1071,R,T,,
1072,T,,,
1073,S,R,T,
1074,F,D,G,
1075,B,C,D,G
1076,D,G,,
1077,I,J,X,
1078,E,F,D,G
1079,V,,,
1080,T,,,
1081,W,S,R,T
1082,O,P,V,
1083,G,,,
1084,H,I,J,X
1085,T,,,
1086,W,S,R,T
1087,X,,,
1088,G,,,
1089,S,R,T,
1090,D,G,,
1091,P,V,,
1092,J,X,,
1093,L,O,P,V
1094,E,F,D,G
1095,L,O,P,V
1096,I,J,X,
1097,G,,,
1098,I,J,X,
1099,D,G,,
1100,I,J,X,
1101,I,J,X,
1102,Q,R,T,
1103,L,O,P,V
1104,G,,,
1105,G,,,
1106,R,T,,
1107,I,J,X,
1108,I,J,X,
1109,E,F,D,G
1110,A,C,D,G
1111,L,O,P,V
1112,R,T,,
1113,R,T,,
1114,R,T,,
1115,A,C,D,G
1116,D,G,,
1117,W,S,R,T
1118,F,D,G,
1119,W,S,R,T
1120,K,J,X,
1121,F,D,G,
1122,D,G,,
1123,B,C,D,G
1124,E,F,D,G
1125,R,T,,
1126,K,J,X,
1127,I,J,X,
1128,P,V,,
1129,B,C,D,G
1130,M,O,P,V
1131,K,J,X,
1132,I,J,X,
1133,Q,R,T,
1134,C,D,G,
1135,G,,,
1136,K,J,X,
1137,P,V,,
1138,D,G,,
1139,S,R,T,
1140,J,X,,
1141,D,G,,
1142,Q,R,T,
1143,U,Q,R,T
1144,R,T,,
1145,R,T,,
1146,W,S,R,T
1147,L,O,P,V
1148,B,C,D,G
1149,J,X,,
1150,A,C,D,G
1151,C,D,G,
1152,X,,,
1153,D,G,,
1154,S,R,T,
1155,L,O,P,V
1156,X,,,
1157,H,I,J,X
1158,W,S,R,T
1159,N,O,P,V
1160,K,J,X,
1161,R,T,,
1162,N,O,P,V
1163,S,R,T,
1164,I,J,X,
1165,I,J,X,
1166,O,P,V,
1167,O,P,V,
1168,F,D,G,
1169,S,R,T,
1170,J,X,,
1171,J,X,,
1172,M,O,P,V
1173,U,Q,R,T
1174,Q,R,T,
1175,M,O,P,V
1176,L,O,P,V
1177,V,,,
1178,W,S,R,T
1179,C,D,G,
1180,Q,R,T,
1181,L,O,P,V
1182,B,C,D,G
1183,Q,R,T,
1184,H,I,J,X
1185,A,C,D,G
1186,C,D,G,
1187,B,C,D,G
1188,X,,,
1189,T,,,
1190,W,S,R,T
1191,I,J,X,
1192,O,P,V,
1193,Q,R,T,
1194,U,Q,R,T
1195,V,,,
1196,D,G,,
1197,P,V,,
1198,A,C,D,G
1199,N,O,P,V
1200,E,F,D,G
1201,O,P,V,
1202,O,P,V,
1203,B,C,D,G
1204,C,D,G,
1205,E,F,D,G
1206,N,O,P,V
1207,B,C,D,G
1208,U,Q,R,T
1209,M,O,P,V
1210,U,Q,R,T
1211,X,,,
1212,E,F,D,G
1213,E,F,D,G
1214,F,D,G,
1215,B,C,D,G
1216,A,C,D,G
1217,R,T,,
1218,O,P,V,
1219,X,,,
1220,K,J,X,
1221,U,Q,R,T
1222,D,G,,
1223,W,S,R,T
1224,E,F,D,G
1225,S,R,T,
1226,T,,,
1227,B,C,D,G
1228,J,X,,
1229,V,,,
1230,B,C,D,G
1231,R,T,,
1232,K,J,X,
1233,V,,,
1234,I,J,X,
1235,A,C,D,G
1236,U,Q,R,T
1237,N,O,P,V
1238,O,P,V,
1239,R,T,,
1240,E,F,D,G
1241,T,,,
1242,J,X,,
1243,M,O,P,V
1244,D,G,,
1245,D,G,,
1246,F,D,G,
1247,L,O,P,V
1248,Q,R,T,
1249,O,P,V,
1250,H,I,J,X
1251,V,,,
1252,O,P,V,
1253,B,C,D,G
1254,F,D,G,
1255,S,R,T,
1256,T,,,
1257,T,,,
1258,U,Q,R,T
1259,C,D,G,
1260,U,Q,R,T
1261,E,F,D,G
1262,R,T,,
1263,B,C,D,G
1264,K,J,X,
1265,W,S,R,T
1266,K,J,X,
1267,L,O,P,V
1268,J,X,,
1269,X,,,
1270,R,T,,
1271,R,T,,
1272,F,D,G,
1273,R,T,,
1274,E,F,D,G
1275,O,P,V,
1276,F,D,G,
1277,F,D,G,
1278,T,,,
1279,F,D,G,
1280,A,C,D,G
1281,S,R,T,
1282,A,C,D,G
1283,R,T,,
1284,B,C,D,G
1285,K,J,X,
1286,T,,,
1287,V,,,
1288,R,T,,
1289,O,P,V,
1290,V,,,
1291,Q,R,T,
1292,F,D,G,
1293,I,J,X,
1294,J,X,,
1295,W,S,R,T
1296,T,,,
1297,M,O,P,V
1298,G,,,
1299,M,O,P,V
1300,O,P,V,
1301,W,S,R,T
1302,G,,,
1303,S,R,T,
1304,H,I,J,X
1305,G,,,
1306,G,,,
1307,A,C,D,G
1308,W,S,R,T
1309,X,,,
1310,T,,,
1311,T,,,
1312,F,D,G,
1313,K,J,X,
1314,V,,,
1315,I,J,X,
1316,A,C,D,G
1317,V,,,
1318,D,G,,
1319,Q,R,T,
1320,Q,R,T,
1321,D,G,,
1322,G,,,
1323,H,I,J,X
1324,X,,,
1325,K,J,X,
1326,R,T,,
1327,P,V,,
1328,V,,,
1329,T,,,
1330,P,V,,
1331,X,,,
1332,L,O,P,V
1333,K,J,X,
1334,M,O,P,V
1335,B,C,D,G
1336,W,S,R,T
1337,Q,R,T,
1338,F,D,G,
1339,C,D,G,
1340,F,D,G,
1341,T,,,
1342,K,J,X,
1343,K,J,X,
1344,M,O,P,V
1345,S,R,T,
1346,I,J,X,
1347,L,O,P,V
1348,N,O,P,V
1349,F,D,G,
1350,K,J,X,
1351,P,V,,
1352,N,O,P,V
1353,K,J,X,
1354,G,,,
1355,X,,,
1356,R,T,,
1357,N,O,P,V
1358,F,D,G,
1359,K,J,X,
1360,W,S,R,T
1361,C,D,G,
1362,P,V,,
1363,W,S,R,T
1364,R,T,,
1365,C,D,G,
1366,Q,R,T,
1367,O,P,V,
1368,C,D,G,
1369,X,,,
1370,S,R,T,
1371,W,S,R,T
1372,C,D,G,
1373,N,O,P,V
1374,M,O,P,V
1375,D,G,,
1376,E,F,D,G
1377,H,I,J,X
1378,B,C,D,G
1379,Q,R,T,
1380,N,O,P,V
1381,A,C,D,G
1382,E,F,D,G
1383,M,O,P,V
1384,F,D,G,
1385,B,C,D,G
1386,D,G,,
1387,W,S,R,T
1388,T,,,
1389,W,S,R,T
1390,B,C,D,G
1391,V,,,
1392,L,O,P,V
1393,V,,,
1394,A,C,D,G
1395,B,C,D,G
1396,N,O,P,V
1397,W,S,R,T
1398,S,R,T,
1399,Q,R,T,
1400,B,C,D,G
1401,O,P,V,
1402,H,I,J,X
1403,J,X,,
1404,N,O,P,V
1405,G,,,
1406,E,F,D,G
1407,V,,,
1408,P,V,,
1409,A,C,D,G
1410,R,T,,
1411,T,,,
1412,N,O,P,V
1413,D,G,,
1414,D,G,,
1415,Q,R,T,
1416,P,V,,
1417,K,J,X,
1418,I,J,X,
1419,Q,R,T,
1420,M,O,P,V
1421,U,Q,R,T
1422,J,X,,
1423,X,,,
1424,L,O,P,V
1425,P,V,,
1426,M,O,P,V
1427,U,Q,R,T
1428,X,,,
1429,W,S,R,T
1430,B,C,D,G
1431,N,O,P,V
1432,D,G,,
1433,M,O,P,V
1434,M,O,P,V
1435,G,,,
1436,Q,R,T,
1437,L,O,P,V
1438,P,V,,
1439,D,G,,
1440,V,,,
1441,H,I,J,X
1442,L,O,P,V
1443,L,O,P,V
1444,P,V,,
1445,V,,,
1446,W,S,R,T
1447,W,S,R,T
1448,K,J,X,
1449,N,O,P,V
1450,V,,,
1451,G,,,
1452,D,G,,
1453,X,,,
1454,D,G,,
1455,H,I,J,X
1456,O,P,V,
1457,T,,,
1458,M,O,P,V
1459,V,,,
1460,R,T,,
1461,U,Q,R,T
1462,X,,,
1463,D,G,,
1464,I,J,X,
1465,C,D,G,
1466,A,C,D,G
1467,F,D,G,
1468,J,X,,
1469,C,D,G,
1470,Q,R,T,
1471,V,,,
1472,R,T,,
1473,O,P,V,
1474,V,,,
1475,X,,,
1476,R,T,,
1477,R,T,,
1478,O,P,V,
1479,H,I,J,X
1480,I,J,X,
1481,U,Q,R,T
1482,I,J,X,
1483,D,G,,
1484,W,S,R,T
1485,N,O,P,V
1486,Q,R,T,
1487,C,D,G,
1488,E,F,D,G
1489,F,D,G,
1490,U,Q,R,T
1491,T,,,
1492,H,I,J,X
1493,J,X,,
1494,G,,,
1495,H,I,J,X
1496,Q,R,T,
1497,P,V,,
1498,T,,,
1499,V,,,
1500,Q,R,T,
1501,P,V,,
1502,N,O,P,V
1503,C,D,G,
1504,C,D,G,
1505,O,P,V,
1506,K,J,X,
