,code1,code2,code3,code4
358,V,,,
359,Q,R,T,
360,J,X,,
361,A,C,D,G
362,D,G,,
363,T,,,
364,M,O,P,V
365,V,,,
366,O,P,V,
367,S,R,T,
368,W,S,R,T
369,I,J,X,
370,U,Q,R,T
371,S,R,T,
372,M,O,P,V
373,G,,,
374,F,D,G,
375,K,J,X,
376,R,T,,
377,W,S,R,T
378,T,,,
379,R,T,,
380,J,X,,
381,S,R,T,
382,L,O,P,V
383,W,S,R,T
384,J,X,,
385,J,X,,
386,T,,,
387,G,,,
388,W,S,R,T
389,R,T,,
390,F,D,G,
391,W,S,R,T
392,J,X,,
393,S,R,T,
394,A,C,D,G
395,H,I,J,X
396,X,,,
397,Q,R,T,
398,A,C,D,G
399,U,Q,R,T
400,D,G,,
401,C,D,G,
402,P,V,,
403,H,I,J,X
404,K,J,X,
405,W,S,R,T
406,H,I,J,X
407,H,I,J,X
408,V,,,
409,C,D,G,
410,K,J,X,
411,B,C,D,G
412,A,C,D,G
413,P,V,,
414,W,S,R,T
415,Q,R,T,
416,C,D,G,
417,F,D,G,
418,B,C,D,G
419,N,O,P,V
420,G,,,
421,R,T,,
422,V,,,
423,F,D,G,
424,J,X,,
425,W,S,R,T
426,I,J,X,
427,P,V,,
428,J,X,,
429,E,F,D,G
430,E,F,D,G
431,W,S,R,T
432,T,,,
433,W,S,R,T
434,P,V,,
435,B,C,D,G
436,V,,,
437,G,,,
438,T,,,
439,A,C,D,G
440,N,O,P,V
441,A,C,D,G
442,F,D,G,
443,B,C,D,G
444,Q,R,T,
445,P,V,,
446,S,R,T,
447,N,O,P,V
448,G,,,
449,L,O,P,V
450,V,,,
451,K,J,X,
452,L,O,P,V
453,S,R,T,
454,N,O,P,V
455,K,J,X,
456,U,Q,R,T
457,P,V,,
458,U,Q,R,T
459,E,F,D,G
460,P,V,,
461,V,,,
462,W,S,R,T
463,A,C,D,G
464,L,O,P,V
465,X,,,
466,J,X,,
467,R,T,,
468,S,R,T,
469,N,O,P,V
470,R,T,,
471,M,O,P,V
472,H,I,J,X
473,W,S,R,T
474,B,C,D,G
475,K,J,X,
476,E,F,D,G
477,I,J,X,
478,B,C,D,G
479,O,P,V,
480,E,F,D,G
481,O,P,V,
482,E,F,D,G
483,X,,,
484,A,C,D,G
485,V,,,
486,E,F,D,G
487,J,X,,
488,A,C,D,G
489,E,F,D,G
490,R,T,,
491,M,O,P,V
492,O,P,V,
493,T,,,
494,I,J,X,
495,O,P,V,
496,F,D,G,
497,J,X,,
498,R,T,,
499,P,V,,
500,V,,,
501,F,D,G,
502,B,C,D,G
503,U,Q,R,T
504,X,,,
505,X,,,
506,F,D,G,
507,D,G,,
508,K,J,X,
509,E,F,D,G
510,J,X,,
511,A,C,D,G
512,W,S,R,T
513,Q,R,T,
514,A,C,D,G
515,T,,,
516,J,X,,
517,W,S,R,T
518,F,D,G,
519,Q,R,T,
520,F,D,G,
521,R,T,,
522,G,,,
523,G,,,
524,T,,,
525,V,,,
526,K,J,X,
527,B,C,D,G
528,B,C,D,G
529,A,C,D,G
530,R,T,,
531,A,C,D,G
532,W,S,R,T
533,A,C,D,G
534,P,V,,
535,V,,,
536,E,F,D,G
537,U,Q,R,T
538,X,,,
539,M,O,P,V
540,L,O,P,V
541,J,X,,
542,U,Q,R,T
543,G,,,
544,F,D,G,
545,P,V,,
546,E,F,D,G
547,Q,R,T,
548,N,O,P,V
549,P,V,,
550,P,V,,
551,W,S,R,T
552,F,D,G,
553,U,Q,R,T
554,C,D,G,
555,D,G,,
556,C,D,G,
557,R,T,,
558,T,,,
559,Q,R,T,
560,I,J,X,
561,I,J,X,
562,O,P,V,
563,L,O,P,V
564,T,,,
565,M,O,P,V
566,O,P,V,
567,I,J,X,
568,U,Q,R,T
569,B,C,D,G
570,B,C,D,G
571,O,P,V,
572,T,,,
573,G,,,
574,O,P,V,
575,A,C,D,G
576,F,D,G,
577,G,,,
578,R,T,,
579,S,R,T,
580,W,S,R,T
581,C,D,G,
582,K,J,X,
583,Q,R,T,
584,X,,,
585,C,D,G,
586,G,,,
587,I,J,X,
588,H,I,J,X
589,B,C,D,G
590,J,X,,
591,U,Q,R,T
592,D,G,,
593,L,O,P,V
594,V,,,
595,F,D,G,
596,C,D,G,
597,T,,,
598,P,V,,
599,O,P,V,
600,N,O,P,V
601,E,F,D,G
602,J,X,,
603,G,,,
604,V,,,
605,M,O,P,V
606,O,P,V,
607,J,X,,
608,U,Q,R,T
609,F,D,G,
610,O,P,V,
611,D,G,,
612,B,C,D,G
613,E,F,D,G
614,A,C,D,G
615,F,D,G,
616,R,T,,
617,I,J,X,
618,I,J,X,
619,O,P,V,
620,I,J,X,
621,T,,,
622,O,P,V,
623,D,G,,
624,L,O,P,V
625,R,T,,
626,C,D,G,
627,K,J,X,
628,J,X,,
629,S,R,T,
630,E,F,D,G
631,G,,,
632,B,C,D,G
633,V,,,
634,X,,,
635,W,S,R,T
636,W,S,R,T
637,K,J,X,
638,I,J,X,
639,G,,,
640,F,D,G,
641,N,O,P,V
642,N,O,P,V
643,D,G,,
644,E,F,D,G
645,K,J,X,
646,O,P,V,
647,L,O,P,V
648,D,G,,
649,B,C,D,G
650,N,O,P,V
651,K,J,X,
652,L,O,P,V
653,K,J,X,
654,B,C,D,G
655,L,O,P,V
656,F,D,G,
657,P,V,,
658,L,O,P,V
659,C,D,G,
660,N,O,P,V
661,G,,,
662,D,G,,
663,V,,,
664,H,I,J,X
665,C,D,G,
666,O,P,V,
667,O,P,V,
668,S,R,T,
669,L,O,P,V
670,O,P,V,
671,G,,,
672,W,S,R,T
673,R,T,,
674,V,,,
675,D,G,,
676,S,R,T,
677,I,J,X,
678,R,T,,
679,C,D,G,
680,W,S,R,T
681,I,J,X,
682,E,F,D,G
683,R,T,,
684,E,F,D,G
685,O,P,V,
686,W,S,R,T
687,R,T,,
688,I,J,X,
689,M,O,P,V
690,E,F,D,G
691,D,G,,
692,P,V,,
693,R,T,,
694,H,I,J,X
695,N,O,P,V
696,H,I,J,X
697,K,J,X,
698,C,D,G,
699,X,,,
700,U,Q,R,T
701,G,,,
702,Q,R,T,
703,H,I,J,X
704,A,C,D,G
705,B,C,D,G
706,U,Q,R,T
707,U,Q,R,T
708,N,O,P,V
709,E,F,D,G
710,C,D,G,
711,R,T,,
712,T,,,
713,I,J,X,
714,I,J,X,
715,L,O,P,V
716,C,D,G,
717,F,D,G,
718,W,S,R,T
719,J,X,,
720,G,,,
721,B,C,D,G
722,O,P,V,
723,F,D,G,
724,F,D,G,
725,W,S,R,T
726,S,R,T,
727,V,,,
728,U,Q,R,T
729,J,X,,
730,F,D,G,
731,D,G,,
732,P,V,,
733,N,O,P,V
734,R,T,,
735,Q,R,T,
736,U,Q,R,T
737,L,O,P,V
738,O,P,V,
739,F,D,G,
740,C,D,G,
741,P,V,,
742,K,J,X,
743,E,F,D,G
744,R,T,,
745,R,T,,
746,X,,,
747,V,,,
748,S,R,T,
749,X,,,
750,I,J,X,
751,H,I,J,X
752,I,J,X,
753,L,O,P,V
754,B,C,D,G
755,E,F,D,G
756,H,I,J,X
757,A,C,D,G
758,G,,,
759,T,,,
760,N,O,P,V
761,G,,,
762,N,O,P,V
763,X,,,
764,A,C,D,G
765,V,,,
766,M,O,P,V
767,B,C,D,G
768,P,V,,
769,L,O,P,V
770,C,D,G,
771,U,Q,R,T
772,W,S,R,T
773,C,D,G,
774,I,J,X,
775,F,D,G,
776,V,,,
777,C,D,G,
778,V,,,
779,F,D,G,
780,E,F,D,G
781,O,P,V,
782,P,V,,
783,W,S,R,T
784,V,,,
785,O,P,V,
786,N,O,P,V
787,G,,,
788,C,D,G,
789,M,O,P,V
790,X,,,
791,J,X,,
792,B,C,D,G
793,L,O,P,V
794,G,,,
795,E,F,D,G
796,D,G,,
797,G,,,
798,R,T,,
799,P,V,,
800,H,I,J,X
801,K,J,X,
802,M,O,P,V
803,U,Q,R,T
804,U,Q,R,T
805,T,,,
806,I,J,X,
807,W,S,R,T
808,D,G,,
809,I,J,X,
810,B,C,D,G
811,P,V,,
812,O,P,V,
813,U,Q,R,T
814,S,R,T,
815,U,Q,R,T
816,T,,,
817,C,D,G,
818,W,S,R,T
819,H,I,J,X
820,F,D,G,
821,C,D,G,
822,X,,,
823,X,,,
824,I,J,X,
825,J,X,,
826,K,J,X,
827,A,C,D,G
828,X,,,
829,W,S,R,T
830,M,O,P,V
831,O,P,V,
832,E,F,D,G
833,C,D,G,
834,H,I,J,X
835,O,P,V,
836,H,I,J,X
837,S,R,T,
838,B,C,D,G
839,K,J,X,
840,I,J,X,
841,I,J,X,
842,D,G,,
843,J,X,,
844,L,O,P,V
845,L,O,P,V
846,D,G,,
847,N,O,P,V
848,X,,,
849,H,I,J,X
850,I,J,X,
851,E,F,D,G
852,O,P,V,
853,Q,R,T,
854,R,T,,
855,F,D,G,
856,D,G,,
857,G,,,
858,M,O,P,V
859,H,I,J,X
860,S,R,T,
861,U,Q,R,T
862,E,F,D,G
863,T,,,
864,U,Q,R,T
865,I,J,X,
866,Q,R,T,
867,Q,R,T,
868,Q,R,T,
869,X,,,
870,X,,,
871,N,O,P,V
872,K,J,X,
873,T,,,
874,O,P,V,
875,W,S,R,T
876,R,T,,
877,B,C,D,G
878,I,J,X,
879,A,C,D,G
880,B,C,D,G
881,X,,,
882,S,R,T,
883,B,C,D,G
884,A,C,D,G
885,O,P,V,
886,Q,R,T,
887,C,D,G,
888,D,G,,
889,K,J,X,
890,E,F,D,G
891,M,O,P,V
892,C,D,G,
893,U,Q,R,T
894,B,C,D,G
895,M,O,P,V
896,Q,R,T,
897,V,,,
898,Q,R,T,
899,H,I,J,X
900,O,P,V,
901,O,P,V,
902,V,,,
903,W,S,R,T
904,S,R,T,
905,Q,R,T,
906,U,Q,R,T
907,W,S,R,T
908,A,C,D,G
909,W,S,R,T
910,L,O,P,V
911,T,,,
912,A,C,D,G
913,M,O,P,V
914,K,J,X,
915,E,F,D,G
916,F,D,G,
917,K,J,X,
918,P,V,,
919,Q,R,T,
920,I,J,X,
921,Q,R,T,
922,R,T,,
923,J,X,,
924,U,Q,R,T
925,D,G,,
926,R,T,,
927,M,O,P,V
928,G,,,
929,L,O,P,V
930,A,C,D,G
931,S,R,T,
932,I,J,X,
933,W,S,R,T
934,J,X,,
935,K,J,X,
936,X,,,
937,S,R,T,
938,O,P,V,
939,F,D,G,
940,A,C,D,G
941,D,G,,
942,L,O,P,V
943,T,,,
944,P,V,,
945,U,Q,R,T
946,B,C,D,G
947,X,,,
948,C,D,G,
949,G,,,
950,I,J,X,
951,E,F,D,G
952,F,D,G,
953,F,D,G,
954,L,O,P,V
955,A,C,D,G
956,V,,,
957,O,P,V,
958,A,C,D,G
959,B,C,D,G
960,N,O,P,V
961,C,D,G,
962,X,,,
963,J,X,,
964,X,,,
965,C,D,G,
966,Q,R,T,
967,K,J,X,
968,A,C,D,G
969,G,,,
970,U,Q,R,T
971,I,J,X,
972,M,O,P,V
973,U,Q,R,T
974,K,J,X,
975,Q,R,T,
976,G,,,
977,U,Q,R,T
978,S,R,T,
979,G,,,
980,A,C,D,G
981,D,G,,
982,H,I,J,X
983,N,O,P,V
984,B,C,D,G
985,R,T,,
986,Q,R,T,
987,O,P,V,
988,K,J,X,
989,F,D,G,
990,D,G,,
991,I,J,X,
992,R,T,,
993,L,O,P,V
994,R,T,,
995,R,T,,
996,D,G,,
997,W,S,R,T
998,G,,,
999,T,,,
1000,A,C,D,G
1001,I,J,X,
1002,E,F,D,G
1003,J,X,,
1004,J,X,,
1005,W,S,R,T
1006,M,O,P,V
1007,N,O,P,V
1008,M,O,P,V
1009,W,S,R,T
1010,H,I,J,X
1011,O,P,V,
1012,N,O,P,V
1013,R,T,,
1014,E,F,D,G
1015,C,D,G,
1016,E,F,D,G
1017,O,P,V,
1018,N,O,P,V
1019,B,C,D,G
1020,L,O,P,V
1021,V,,,
1022,D,G,,
1023,H,I,J,X
1024,N,O,P,V
1025,A,C,D,G
1026,P,V,,
1027,M,O,P,V
1028,J,X,,
1029,R,T,,
1030,F,D,G,
1031,G,,,
1032,B,C,D,G
1033,W,S,R,T
1034,J,X,,
1035,S,R,T,
1036,G,,,
1037,P,V,,
1038,W,S,R,T
1039,U,Q,R,T
1040,H,I,J,X
1041,C,D,G,
1042,L,O,P,V
1043,G,,,
1044,K,J,X,
1045,H,I,J,X
1046,K,J,X,
1047,G,,,
1048,V,,,
1049,J,X,,
1050,E,F,D,G
1051,W,S,R,T
1052,A,C,D,G
1053,N,O,P,V
1054,W,S,R,T
1055,O,P,V,
1056,M,O,P,V
1057,C,D,G,
1058,C,D,G,
1059,V,,,
1060,I,J,X,
1061,X,,,
1062,C,D,G,
1063,G,,,
1064,H,I,J,X
1065,C,D,G,
1066,N,O,P,V
1067,G,,,
1068,A,C,D,G
1069,F,D,G,
1070,W,S,R,T
1071,X,,,
1072,W,S,R,T
1073,I,J,X,
1074,S,R,T,
1075,V,,,
1076,N,O,P,V
1077,E,F,D,G
1078,W,S,R,T
1079,W,S,R,T
1080,A,C,D,G
1081,P,V,,
1082,U,Q,R,T
1083,K,J,X,
1084,R,T,,
1085,Q,R,T,
1086,L,O,P,V
1087,F,D,G,
1088,T,,,
1089,T,,,
1090,L,O,P,V
1091,P,V,,
1092,X,,,
1093,P,V,,
1094,X,,,
1095,T,,,
1096,U,Q,R,T
1097,F,D,G,
1098,X,,,
1099,T,,,
1100,K,J,X,
1101,C,D,G,
1102,L,O,P,V
1103,C,D,G,
1104,B,C,D,G
1105,E,F,D,G
1106,F,D,G,
1107,A,C,D,G
1108,S,R,T,
1109,H,I,J,X
1110,A,C,D,G
1111,L,O,P,V
1112,X,,,
1113,R,T,,
1114,K,J,X,
1115,K,J,X,
1116,M,O,P,V
1117,F,D,G,
1118,Q,R,T,
1119,K,J,X,
1120,O,P,V,
1121,M,O,P,V
1122,B,C,D,G
1123,I,J,X,
1124,D,G,,
1125,X,,,
1126,W,S,R,T
1127,W,S,R,T
1128,G,,,
1129,E,F,D,G
1130,V,,,
1131,U,Q,R,T
1132,X,,,
1133,H,I,J,X
1134,M,O,P,V
1135,O,P,V,
1136,F,D,G,
1137,C,D,G,
1138,A,C,D,G
1139,N,O,P,V
1140,A,C,D,G
1141,L,O,P,V
1142,N,O,P,V
1143,J,X,,
1144,A,C,D,G
1145,I,J,X,
1146,S,R,T,
1147,O,P,V,
1148,O,P,V,
1149,I,J,X,
1150,S,R,T,
1151,M,O,P,V
1152,L,O,P,V
1153,G,,,
1154,K,J,X,
1155,H,I,J,X
1156,V,,,
1157,I,J,X,
1158,B,C,D,G
1159,S,R,T,
1160,X,,,
1161,F,D,G,
1162,W,S,R,T
1163,R,T,,
1164,R,T,,
1165,J,X,,
1166,G,,,
1167,G,,,
1168,E,F,D,G
1169,Q,R,T,
1170,U,Q,R,T
1171,I,J,X,
1172,W,S,R,T
1173,H,I,J,X
1174,H,I,J,X
1175,N,O,P,V
1176,Q,R,T,
1177,D,G,,
1178,P,V,,
1179,W,S,R,T
1180,V,,,
1181,I,J,X,
1182,X,,,
1183,H,I,J,X
1184,I,J,X,
1185,I,J,X,
1186,I,J,X,
1187,G,,,
1188,P,V,,
1189,Q,R,T,
1190,S,R,T,
1191,R,T,,
1192,Q,R,T,
1193,U,Q,R,T
1194,S,R,T,
1195,C,D,G,
1196,T,,,
1197,G,,,
1198,F,D,G,
1199,B,C,D,G
1200,N,O,P,V
1201,P,V,,
1202,P,V,,
1203,N,O,P,V
1204,I,J,X,
1205,W,S,R,T
1206,D,G,,
1207,N,O,P,V
1208,I,J,X,
1209,R,T,,
1210,D,G,,
1211,C,D,G,
1212,L,O,P,V
1213,N,O,P,V
1214,R,T,,
1215,N,O,P,V
1216,A,C,D,G
1217,P,V,,
1218,S,R,T,
1219,D,G,,
1220,X,,,
1221,E,F,D,G
1222,O,P,V,
1223,U,Q,R,T
1224,G,,,
1225,L,O,P,V
1226,N,O,P,V
1227,D,G,,
1228,W,S,R,T
1229,G,,,
1230,G,,,
1231,I,J,X,
1232,V,,,
1233,N,O,P,V
1234,I,J,X,
1235,E,F,D,G
1236,I,J,X,
1237,A,C,D,G
1238,U,Q,R,T
1239,Q,R,T,
1240,W,S,R,T
1241,P,V,,
1242,X,,,
1243,V,,,
1244,A,C,D,G
1245,I,J,X,
1246,B,C,D,G
1247,I,J,X,
1248,P,V,,
1249,C,D,G,
1250,J,X,,
1251,G,,,
1252,S,R,T,
1253,G,,,
1254,A,C,D,G
1255,X,,,
1256,C,D,G,
1257,V,,,
1258,D,G,,
1259,N,O,P,V
1260,W,S,R,T
1261,X,,,
1262,J,X,,
1263,M,O,P,V
1264,G,,,
1265,C,D,G,
1266,R,T,,
1267,B,C,D,G
1268,W,S,R,T
1269,J,X,,
1270,P,V,,
1271,S,R,T,
1272,U,Q,R,T
1273,Q,R,T,
1274,V,,,
1275,P,V,,
1276,J,X,,
1277,U,Q,R,T
1278,D,G,,
1279,U,Q,R,T
1280,X,,,
1281,M,O,P,V
1282,A,C,D,G
1283,X,,,
1284,E,F,D,G
1285,Q,R,T,
1286,V,,,
1287,M,O,P,V
1288,I,J,X,
1289,D,G,,
1290,C,D,G,
1291,G,,,
1292,U,Q,R,T
1293,K,J,X,
1294,E,F,D,G
1295,I,J,X,
1296,S,R,T,
1297,H,I,J,X
1298,J,X,,
1299,W,S,R,T
1300,U,Q,R,T
1301,O,P,V,
1302,D,G,,
1303,B,C,D,G
1304,V,,,
1305,E,F,D,G
1306,L,O,P,V
1307,P,V,,
1308,V,,,
1309,H,I,J,X
1310,O,P,V,
1311,O,P,V,
1312,H,I,J,X
1313,A,C,D,G
1314,X,,,
1315,E,F,D,G
1316,Q,R,T,
1317,Q,R,T,
1318,L,O,P,V
1319,S,R,T,
1320,D,G,,
1321,A,C,D,G
1322,N,O,P,V
1323,V,,,
1324,J,X,,
1325,M,O,P,V
1326,B,C,D,G
1327,Q,R,T,
1328,U,Q,R,T
1329,X,,,
1330,I,J,X,
1331,B,C,D,G
1332,O,P,V,
1333,W,S,R,T
1334,D,G,,
1335,A,C,D,G
1336,F,D,G,
1337,A,C,D,G
1338,Q,R,T,
1339,V,,,
1340,L,O,P,V
1341,M,O,P,V
1342,V,,,
1343,A,C,D,G
1344,M,O,P,V
1345,E,F,D,G
1346,F,D,G,
1347,A,C,D,G
1348,Q,R,T,
1349,M,O,P,V
1350,O,P,V,
1351,R,T,,
1352,K,J,X,
1353,O,P,V,
1354,K,J,X,
1355,T,,,
1356,R,T,,
1357,G,,,
1358,T,,,
1359,X,,,
1360,G,,,
1361,M,O,P,V
1362,L,O,P,V
1363,P,V,,
1364,J,X,,
1365,H,I,J,X
1366,D,G,,
1367,D,G,,
1368,C,D,G,
1369,D,G,,
1370,D,G,,
1371,I,J,X,
1372,V,,,
1373,D,G,,
1374,S,R,T,
1375,O,P,V,
1376,N,O,P,V
1377,A,C,D,G
1378,O,P,V,
1379,B,C,D,G
1380,F,D,G,
1381,F,D,G,
1382,U,Q,R,T
1383,L,O,P,V
1384,L,O,P,V
1385,X,,,
1386,G,,,
1387,L,O,P,V
1388,X,,,
1389,O,P,V,
1390,E,F,D,G
1391,B,C,D,G
1392,O,P,V,
1393,J,X,,
1394,A,C,D,G
1395,Q,R,T,
1396,P,V,,
1397,S,R,T,
1398,B,C,D,G
1399,H,I,J,X
1400,V,,,
1401,J,X,,
1402,A,C,D,G
1403,E,F,D,G
1404,I,J,X,
1405,S,R,T,
1406,K,J,X,
1407,E,F,D,G
1408,U,Q,R,T
1409,U,Q,R,T
1410,H,I,J,X
1411,D,G,,
1412,M,O,P,V
1413,E,F,D,G
1414,M,O,P,V
1415,X,,,
1416,W,S,R,T
1417,V,,,
1418,W,S,R,T
1419,J,X,,
1420,X,,,
1421,K,J,X,
1422,K,J,X,
1423,P,V,,
1424,N,O,P,V
1425,Q,R,T,
1426,U,Q,R,T
1427,C,D,G,
1428,M,O,P,V
1429,A,C,D,G
1430,J,X,,
1431,R,T,,
1432,Q,R,T,
1433,W,S,R,T
1434,A,C,D,G
1435,D,G,,
1436,H,I,J,X
1437,H,I,J,X
1438,O,P,V,
1439,M,O,P,V
1440,R,T,,
1441,W,S,R,T
1442,Q,R,T,
1443,X,,,
1444,X,,,
1445,F,D,G,
1446,F,D,G,
1447,J,X,,
1448,M,O,P,V
1449,E,F,D,G
1450,Q,R,T,
1451,R,T,,
1452,W,S,R,T
1453,S,R,T,
1454,V,,,
1455,P,V,,
1456,W,S,R,T
1457,V,,,
1458,B,C,D,G
1459,M,O,P,V
1460,B,C,D,G
1461,R,T,,
1462,R,T,,
1463,D,G,,
1464,D,G,,
1465,A,C,D,G
1466,Q,R,T,
1467,H,I,J,X
1468,V,,,
1469,A,C,D,G
1470,J,X,,
1471,B,C,D,G
1472,I,J,X,
1473,V,,,
1474,M,O,P,V
1475,C,D,G,
1476,J,X,,
1477,P,V,,
1478,B,C,D,G
1479,H,I,J,X
1480,P,V,,
1481,A,C,D,G
1482,E,F,D,G
1483,O,P,V,
1484,U,Q,R,T
1485,R,T,,
1486,W,S,R,T
1487,K,J,X,
1488,A,C,D,G
1489,X,,,
1490,O,P,V,
1491,I,J,X,
1492,Q,R,T,
1493,O,P,V,
1494,H,I,J,X
1495,D,G,,
1496,V,,,
1497,V,,,
1498,M,O,P,V
1499,S,R,T,
1500,N,O,P,V
1501,D,G,,
1502,L,O,P,V
1503,A,C,D,G
1504,T,,,
